ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
can	1. m. perro (‖ mamífero). 2. m. Pieza pequeña de bronce en la artillería antigua. 3. m. gatillo (‖ pieza de las armas de fuego). 4. m. Arq. Cabeza de una viga del techo interior, que carga en el muro y sobresale al exterior, sosteniendo la corona de la cornisa.
pulquérrimo	 1. adj. sup. de pulcro.
hipérbaton	 1. m. Ret. Alteración del orden que las palabras tienen habitualmente en el discurso, como en por mi mano plantado tengo un huerto.
anarquía	1. f. Ausencia de poder público. 2. f. Desconcierto, incoherencia, barullo. 3. f. anarquismo (‖ doctrina que propugna la supresión del Estado).
foral	 Que se rige por un derecho histórico mantenido por la Constitución y las leyes. Decreto foral. Diputación foral.
trashumante	 Que trashuma. 2. adj. Perteneciente o relativo a la trashumancia.
trashumancia	 1. f. Acción y efecto de trashumar.
trashumar	 Cambiar periódicamente de lugar.
perenne	 1. adj. Continuo, incesante, que no tiene intermisión. 2. adj. Bot. Que vive más de dos años.
intermisión	 1. f. Interrupción o cesación de una labor o de cualquier otra cosa por algún tiempo.
crisopeya	 1. f. Arte con que se pretendía transmutar los metales en oro.
transmutar	 1. tr. Mudar o convertir algo en otra cosa. U. t. c. prnl.
pronominal	 Que tiene por núcleo un pronombre. Sintagma pronominal.
pronombre	1. m. Gram. Clase de palabras cuyos elementos hacen las veces del sustantivo o del sintagma nominal y que se emplean para referirse a las personas, los animales o las cosas sin nombrarlos. Ella, esto, quién son pronombres.
sintagma	1. m. Gram. Palabra o conjunto de palabras que se articula en torno a un núcleo y que puede ejercer alguna función sintáctica. sintagma adjetival, o sintagma adjetivo
sánscrito	1. adj. Perteneciente o relativo al sánscrito. Léxico sánscrito. 2. m. Lengua del grupo indio, derivada del védico, que se habló en el norte de la India desde fecha antigua hasta el siglo III a. C. y que después continuó existiendo como lengua escrita de las religiones, la literatura y el pensamiento.
moni	 1. m. coloq. moneda (‖ dinero). U. m. en pl.
monis	 V. moni.
verborragia	 1. f. Verbosidad excesiva.
verbosidad	 1. f. Abundancia de palabras en la elocución.
Mamífero	 Del grupo de los vertebrados de temperatura constante cuyo embrión, provisto de amnios y alantoides, se desarrolla casi siempre dentro del seno materno, y cuyas crías son alimentadas por las hembras con la leche de sus mamas. U. t. c. s. m., en pl. como taxón.
amnios	1. m. Zool. Saco cerrado que envuelve y protege el embrión de los reptiles, aves y mamíferos, y que se forma como membrana extraembrionaria, llena de líquido amniótico.
eteria	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
peregrinación	 1. f. Acción y efecto de peregrinar.
peregrinar	 Andar por tierras extrañas. 2. intr. Ir en romería a un santuario por devoción o por voto. 3. intr. coloq. Andar de un lugar a otro buscando o resolviendo algo.
romería	1. f. Viaje o peregrinación, especialmente la que se hace por devoción a un santuario. 2. f. Fiesta popular que con meriendas, bailes, etc., se celebra en el campo inmediato a alguna ermita o santuario el día de la festividad religiosa del lugar.
HELIOCENTRISMO	1. m. Teoría astronómica difundida a mediados del siglo XVI por el astrónomo polaco Copérnico, que consideraba el Sol como centro del universo.
sibilino	 1. adj. Perteneciente o relativo a la sibila. 2. adj. Misterioso u oscuro, a veces con apariencia de importante.
sibila	 1. f. Mujer sabia a quien los antiguos atribuyeron espíritu profético.
monasterio	 1. m. Casa o convento, ordinariamente fuera de poblado, donde viven en comunidad los monjes. 2. m. Casa de religiosos.
monje	1. m. y f. Persona que pertenece a una orden religiosa y vive en un monasterio. 2. m. anacoreta. 3. m. paro carbonero. 4. f. Religiosa de una orden o congregación.
anacoreta	 1. m. y f. Persona que vive en lugar solitario, entregada enteramente a la contemplación y a la penitencia.
carbonero	1. adj. Perteneciente o relativo al carbón. 2. m. y f. Persona que fabrica o vende carbón. 3. m. Cuba y P. Rico. Nombre genérico común a varias plantas de diferentes familias, como las mimosáceas o las euforbiáceas, cuya madera se utiliza para hacer carbón.
llantén	1. m. Planta herbácea, vivaz, de la familia de las plantagináceas, con hojas radicales, pecioladas, gruesas, anchas, ovaladas, enteras o algo ondeadas por el margen, flores sobre un escapo de 20 a 30 cm de altura, en espiga larga y apretada, pequeñas, verdosas, de corola tubular en la base y partida en cuatro pétalos en cruz, fruto capsular con dos divisiones, y semillas pardas elipsoidales, que es muy común en los sitios húmedos, y el cocimiento de sus hojas se usa en medicina.
antinomia	 1. f. Contradicción entre dos preceptos legales. 2. f. Contradicción entre dos principios racionales.
vorágine	1. f. Remolino impetuoso que hacen en algunos parajes las aguas del mar, de los ríos o de los lagos. 2. f. Pasión desenfrenada o mezcla de sentimientos muy intensos.
pigricia	 1. f. Pereza, ociosidad, negligencia, descuido. 2. f. Bol. pizca.
vespertilio	 1. m. p. us. murciélago.
desinencia	 1. f. Gram. Morfema flexivo pospuesto a la raíz, especialmente la de un verbo.
morfema	 mujer y -es. 2. m. Gram. Por oposición a lexema, morfema gramatical; p. ej., de, no, yo, el, -ar, -s, -ero.
lexema	1. m. Ling. Unidad mínima con significado léxico que no presenta morfemas gramaticales; p. ej., sol, o que, poseyéndolos, prescinde de ellos por un proceso de segmentación; p. ej., terr, en enterráis.
altísimo	 el Altísimo 1. m. Dios.
parietal	 1. adj. Perteneciente o relativo a la pared. 2. m. Anat. hueso parietal.
mano	1. f. Parte del cuerpo humano unida a la extremidad del antebrazo y que comprende desde la muñeca inclusive hasta la punta de los dedos. 2. f. En algunos animales, extremidad cuyo dedo pulgar puede oponerse a los otros.
picar	1. tr. Pinchar una superficie con un instrumento punzante. U. t. c. prnl. 2. tr. Cortar o dividir en trozos muy menudos. 3. tr. Golpear con pico, piqueta u otro instrumento adecuado, la superficie de las piedras para labrarlas, o la de las paredes para revocarlas.
víspera	1. f. Día que antecede inmediatamente a otro determinado, especialmente si es fiesta. 2. f. Cosa que antecede a otra, y en cierto modo la ocasiona.
pinito	1. m. Cada uno de los primeros pasos que da el niño o el convaleciente. U. m. en pl. Está haciendo pinitos. 2. m. pl. Primeros pasos que se dan en algún arte o ciencia.
barroco	 Que se desarrolló en Europa e Iberoamérica durante los siglos XVII y XVIII, opuesto al clasicismo y caracterizado por la complejidad y el dinamismo de las formas, la riqueza de la ornamentación y el efectismo. U. t. c. s. m.
ANFIBOLOGÍA	1. f. Doble sentido, vicio de la palabra, cláusula o manera de hablar a que puede darse más de una interpretación. 2. f. Ret. Empleo voluntario de voces o cláusulas con doble sentido.
Ampo	 1. m. Blancura resplandeciente. 2. m. Copo de nieve. U. m. en pl.
CARCA	Entradas que contienen la forma «CARCA» | Diccionario de la lengua española | RAE - ASALE
CORCOVA	1. f. Corvadura anómala de la columna vertebral, o del pecho, o de ambos a la vez. 2. f. desus. Corvadura de cualquier cosa, o bulto que altera su forma normal exterior.
Carolingio	1. adj. Integrante de la dinastía fundada por el emperador Carlomagno en los siglos VIII y IX. U. t. c. s. 2. adj. Perteneciente o relativo a Carlomagno, a su dinastía o a su época.
Carámbanos	1. m. Pedazo de hielo más o menos largo y puntiagudo. 2. m. Nic. carao. estar hecho, cha un carámbano 1. loc. verb. coloq. Tener mucho frío.
Catégra	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Cello	 1. m. Aro con que se sujetan las duelas de las cubas, comportas, pipotes, etc.
Cerdudo	 Que tiene mucho pelo y fuerte en el pecho. 3. m. desus. cerdo (‖ mamífero).
Chuchurrio	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Epílogo	1. m. Recapitulación de lo dicho en un discurso o en otra composición literaria. 2. m. Última parte de una obra, en la que se refieren hechos posteriores a los recogidos en ella o reflexiones relacionadas con su tema central.
Forado	1. adj. desus. Que está horadado. 2. m. Bol., Chile, Ec., Perú y Ven. Horado hecho en una pared. 3. m. desus. Abertura más o menos redonda.
Fragor	 1. m. Ruido estruendoso.
LAMPION	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Onomateca	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Picar	1. tr. Pinchar una superficie con un instrumento punzante. U. t. c. prnl. 2. tr. Cortar o dividir en trozos muy menudos. 3. tr. Golpear con pico, piqueta u otro instrumento adecuado, la superficie de las piedras para labrarlas, o la de las paredes para revocarlas.
Pitiyanqui	 1. m. despect. Ven. Imitador del estadounidense.
SOLECISMO	 1. m. Gram. Falta de sintaxis; error cometido contra las normas de algún idioma.
Toponimia	1. f. Conjunto de los nombres propios de lugar de un país o de una región. 2. f. Ling. Rama de la onomástica que estudia el origen de los nombres propios de lugar, así como el significado de sus étimos.
abuelazón	 1. f. Pan. Condición anímica de los abuelos que muestran de forma exagerada cariño por su nieto.
acepciones	1. f. Cada uno de los significados de una palabra según los contextos en que aparece. 2. f. desus. aceptación (‖ aprobación). acepción de personas
aherrojar	 1. tr. Poner a alguien prisiones de hierro. 2. tr. Oprimir, subyugar.
ahonda	1. tr. Hacer algo hondo o más hondo de lo que era. Ahondar un pozo. U. t. en sent. fig. Ahondar una rivalidad. U. t. c. prnl. 2. tr. Cavar profundizando.
ajorca	 1. f. Especie de argolla de oro, plata u otro metal, usada para adornar las muñecas, brazos o tobillos.
alatés	 1. m. germ. Criado o mozo de un rufián o ladrón.
albugíneo	 Que rodea el tejido propio del testículo y es fibrosa, blanca y brillante. U. t. c. s. f.
allende	1. prep. cult. Más allá de. Su fama se extendía allende nuestras fronteras. Se dirigió hacia allende las dunas. 2. prep. cult. Además de, fuera de. Tomaron el vino que habían traído, allende lo que había en la bodega.
anosmia	 1. f. Pérdida completa del olfato.
arrostrar	1. tr. Hacer cara, resistir, sin dar muestras de cobardía, a las calamidades o peligros. 2. tr. Sufrir o tolerar a alguien o algo desagradable. U. t. c. intr.
atezado	 Bronceado o moreno. 2. adj. De color atezado.
bagrero	 Que gusta de las mujeres muy feas. U. t. c. s. m.
barbullido	 1. m. Rizado que produce en la superficie de la mar el paso de un banco de sardinas.
bisoño	 nuevo (‖ principiante). U. t. c. s. 2. adj. coloq. Nuevo e inexperto en cualquier arte u oficio. U. t. c. s.
botafumeiro	 1. m. incensario. 2. m. coloq. adulación. manejar el botafumeiro 1. loc. verb. coloq. adular.
brasil	1. m. Árbol de la familia de las papilionáceas, que crece en los países tropicales, y cuya madera es el palo brasil. 2. m. palo brasil (‖ madera).
cacosmia	 1. f. Med. Olor fétido. 2. f. Med. Alteración del sentido del olfato, que causa una percepción anormal de los olores.
calambur	1. m. Ret. Agrupación de varias sílabas de modo que alteren el significado de las palabras a que pertenecen, como en este es conde y disimula.
capicúa	1. m. Número que es igual leído de izquierda a derecha que de derecha a izquierda; p. ej., el 1331. U. t. c. adj. 2. m. Billete, boleto, etc., cuyo número es capicúa. U. t. c. adj.
carcamal	 1. m. despect. coloq. Persona decrépita y achacosa. U. t. c. adj.
catire	 Rubia, en especial con el pelo rojizo y ojos verdosos o amarillentos, por lo común hija de blanco y mulata, o viceversa.
ceromancia	1. f. p. us. Adivinación que consiste en ir echando gotas de cera derretida en una vasija llena de agua, para hacer cómputos o deducciones según las figuras que se forman.
chollo	 1. m. coloq. Cosa valiosa o apreciable que se adquiere a muy bajo precio o con poco esfuerzo. U. t. en sent. irón.
cipayo	 1. m. Soldado indio de los siglos XVIII y XIX al servicio de Francia, Portugal y Gran Bretaña. 2. m. despect. Secuaz a sueldo.
cocobolo	1. m. Árbol de América, de la familia de las poligonáceas, que alcanza unos 30 m de altura, con tronco grueso y derecho, hojas muy grandes, casi redondas, rugosas y de color verde rojizo, flores encarnadas en racimos, y frutos parecidos a la guinda.
cuesco	1. m. Hueso de la fruta; p. ej., el de la guinda, el durazno, etc. 2. m. En los molinos de aceite, piedra redonda en que la viga aprieta los capachos.
deicidio	 1. m. Acción de dar muerte a Dios, referido especialmente a la de Jesucristo.
desbravar	 Romperse, desahogarse su ímpetu. U. t. c. prnl.
desgorre	 1. m. coloq. Hond. Participación en juergas o fiestas en las que se producen alborotos, escándalo y algún tipo de relación amorosa.
desternillante	 1. adj. Cómico, hilarante.
epéntesis	 1. f. Fon. Adición de algún sonido en una palabra, especialmente en posición interior, como en tendré, del antiguo tenré.
eviternas	 1. adj. cult. Que, habiendo comenzado en el tiempo, no tendrá fin.
fardos	1. m. Lío grande de ropa u otra cosa, muy apretado, para poder llevarlo de una parte a otra. Se hace regularmente con las mercancías que se han de transportar, cubriéndolas con arpillera o lienzo embreado o encerado, para que no se maltraten.
fetén	1. adj. Bueno, estupendo, excelente. Conocí a una chica fetén. 2. adj. coloq. Sincero, auténtico, verdadero, evidente. 3. f. coloq. La verdad. La fetén.
filicidio	 1. m. Muerte dada por un padre o una madre a su propio hijo.
flabelífero	1. m. y f. Persona que tenía por oficio llevar y agitar un abanico grande montado en una vara, en ciertas ceremonias religiosas o cortesanas.
follón	1. adj. p. us. Flojo, perezoso y negligente. U. t. c. s. 2. adj. p. us. Vano, arrogante, cobarde y de ruin proceder. U. t. c. s. 3. m. Cohete que se dispara sin trueno.
frufrú	 1. onomat. U. para imitar el ruido que produce el roce de la seda o de otra tela semejante. U. t. c. s. m.
gargamillón	 1. m. germ. Cuerpo humano.
glugutear	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
hipocorísticos	 Que, en forma diminutiva, abreviada o infantil, se usa como designación cariñosa, familiar o eufemística; p. ej., Pepe, Charo. U. t. c. s. m.
hortatorio	 1. adj. desus. exhortatorio.
intonso	 Que se encuaderna sin cortar los pliegos de que se compone.
jofaina	 1. f. Vasija en forma de taza, de gran diámetro y poca profundidad, que sirve principalmente para lavarse la cara y las manos.
latiniparla	 1. f. Lenguaje de quienes emplean con afectación voces latinas al hablar o escribir en español o en otro idioma que no sea el latino.
malacia	1. f. Med. Perversión del apetito que consiste en el deseo de comer materias extrañas e impropias para la nutrición, como yeso, carbón, cal, arena, tierra u otras cosas.
mangonero	 Que tiene muchas fiestas y en que apenas se trabaja.
marchamador	 1. m. y f. Persona que tiene el oficio de marchamar.
marramao	 1. onomat. U. para imitar el maullido del gato en la época del celo. U. t. c. s. m. El marramao del gato.
merino	 Que tiene el hocico grueso y ancho, la nariz con arrugas transversas, y la cabeza y las extremidades cubiertas, como todo el cuerpo, de lana muy fina, corta y rizada. U. t. c. s.
morcillona	 En estado anterior a su plena erección.
nigromancia	 1. f. Adivinación mediante la invocación a los muertos. 2. f. coloq. Magia negra o diabólica.
oblito	 1. m. Med. Cuerpo extraño olvidado en el interior de un paciente durante una intervención quirúrgica.
oniromancia	 1. f. Adivinación por medio de los sueños.
onocrótalo	 1. m. pelícano (‖ ave).
onomancia	 1. f. Adivinación de lo concerniente a una persona por su nombre.
oreo	 1. m. Soplo del aire que da suavemente en algo. 2. m. Acción y efecto de orear u orearse.
pajla	 Calva, sin pelo. U. t. c. s.
palitroque	1. m. Palo pequeño, tosco o mal labrado. 2. m. Taurom. banderilla (‖ palo para clavar en los toros). 3. m. Cuba. colín (‖ barra de pan pequeña).
palíndromo	1. m. Palabra o frase cuyas letras están dispuestas de tal manera que resulta la misma leída de izquierda a derecha que de derecha a izquierda; p. ej., anilina; dábale arroz a la zorra el abad.
pelamesa	 1. f. Riña o pelea en que los contendientes se asen y mesan los cabellos o la barba. 2. f. Porción de pelo que se puede asir o mesar.
peoresnadino	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
perentoria	 1. adj. Concluyente o definitivo. 2. adj. Urgente, apremiante. excepción perentoria término perentorio
pigricia	 1. f. Pereza, ociosidad, negligencia, descuido. 2. f. Bol. pizca.
pijo	 Que en su vestuario, modales, lenguaje, etc., manifiesta afectadamente gustos propios de una clase social adinerada. U. t. c. s.
pólice	 1. m. Dedo pulgar.
rataplán	1. onomat. U. para imitar el sonido del tambor. 2. m. En los diarios, resumen en primera página de una noticia que se publica en el interior.
redova	 1. f. Danza polaca, menos viva que la mazurca. 2. f. Música de la redova.
regicidio	 1. m. Muerte violenta dada al rey o a la reina.
rocambolesco	 Extraordinario, exagerado o inverosímil.
salvante	 1. prep. p. us. Fuera de, con excepción de, excepto. U. t. c. adv.
sambenito	1. m. Capotillo o escapulario que se ponía a los penitentes reconciliados por el tribunal eclesiástico de la Inquisición. 2. m. Letrero que se ponía en las iglesias con el nombre y castigo de los penitenciados, y las señales de su castigo.
secaleche	 1. m. y f. El Salv. y Hond. Último hijo de un matrimonio.
sobrancero	 Que está sin trabajar y sin oficio determinado. U. t. c. s. 2. adj. R. Dom. y Ven. Que sobra o excede en tamaño, cantidad o peso.
soportal	1. m. Espacio cubierto que en algunas casas precede a la entrada principal. 2. m. Espacio cubierto, a manera de claustro, que tienen algunos edificios o manzanas de casas en sus fachadas para protegerse de la lluvia, el frío, etc. U. m. en pl. con el mismo significado que en sing.
sápida	 Que tiene algún sabor.
taheño	 Rojo. 2. adj. Que tiene el pelo o la barba rojos.
taíno	 De un pueblo amerindio del gran grupo lingüístico arahuaco que estaba establecido en La Española y también en Cuba y Puerto Rico cuando se produjo el descubrimiento de América. U. t. c. s.
teósofo	 1. m. y f. Persona que profesa la teosofía.
traca	1. f. Artificio de pólvora que se hace con una serie de petardos colocados a lo largo de una cuerda y que estallan sucesivamente. 2. f. Gran estampido final de una traca.
trastabillar	 1. intr. Dar traspiés o tropezones. 2. intr. Tambalearse, vacilar, titubear. 3. intr. Tartalear, tartamudear, trabarse al hablar.
trifinio	 1. m. Punto donde confluyen y finalizan los términos de tres jurisdicciones o divisiones territoriales.
truchimán	1. m. y f. intérprete (‖ persona que explica lo dicho en otra lengua). 2. m. y f. Persona sagaz y astuta, poco escrupulosa en su proceder. U. t. c. adj.
tábido	 1. adj. Med. Extenuado por consunción. 2. adj. desus. Podrido o corrompido.
uxoricidio	 1. m. Muerte causada a la mujer por su marido.
vidajena	 Que fisgonea a otra. U. t. c. s.
zaratán	 1. m. Cáncer de mama en la mujer. 1. m. coloq. Seg. y Vall. Cordelería, taller u obrador donde se hacen cordeles.
zatico	 1. m. desus. Mendrugo o pedazo de pan. 2. m. desus. Hombre que antiguamente tenía en palacio el cargo de cuidar del pan y alzar las mesas.
zoizo	 1. m. Persona que formaba parte de la suiza (‖ soldadesca festiva de a pie). 2. m. Antiguo soldado de infantería.
zullenco	 1. adj. coloq. Que ventosea con frecuencia e involuntariamente o no puede contener la deposición2.
arsonista	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
arsonismo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
arzón	 1. m. Parte delantera o trasera que une los dos brazos longitudinales del fuste de una silla de montar. pistola de arzón
dedo	1. m. Cada uno de los cinco apéndices articulados en que terminan la mano y el pie del hombre y, en el mismo o menor número, de muchos animales.
